iter	Passed	Remaining
417	2537	118866
418	2542	118837
419	2548	118806
420	2553	118770
421	2559	118739
422	2564	118708
423	2570	118670
424	2576	118655
425	2581	118625
426	2587	118600
427	2592	118566
428	2598	118548
429	2604	118515
430	2609	118487
431	2615	118458
432	2620	118429
433	2626	118394
434	2631	118361
435	2637	118332
436	2643	118326
437	2648	118302
438	2655	118323
439	2662	118365
440	2669	118392
441	2676	118441
442	2683	118451
443	2688	118423
444	2694	118393
445	2699	118371
446	2705	118352
447	2711	118324
448	2716	118297
449	2722	118279
450	2727	118247
451	2733	118210
452	2738	118187
453	2744	118159
454	2749	118124
455	2755	118095
456	2761	118073
457	2766	118045
458	2772	118015
459	2778	118013
460	2783	117991
461	2789	117973
462	2795	117946
463	2800	117929
464	2806	117919
465	2812	117895
466	2818	117871
467	2823	117845
468	2829	117830
469	2835	117813
470	2840	117781
471	2846	117759
472	2852	117747
473	2858	117757
474	2865	117770
475	2872	117827
476	2878	117796
477	2883	117766
478	2889	117737
479	2894	117713
480	2900	117687
481	2906	117678
482	2911	117651
483	2917	117623
484	2922	117596
485	2928	117570
486	2933	117541
487	2939	117533
488	2945	117506
489	2950	117486
490	2956	117459
491	2961	117438
492	2967	117410
493	2972	117380
494	2978	117354
495	2984	117339
496	2989	117324
497	2995	117314
498	3001	117289
499	3006	117262
500	3012	117262
501	3018	117235
502	3024	117215
503	3029	117192
504	3035	117193
505	3041	117173
506	3046	117144
507	3054	117203
508	3060	117212
509	3068	117255
510	3073	117227
511	3079	117215
512	3084	117184
513	3090	117159
514	3096	117148
515	3102	117132
516	3107	117115
517	3113	117092
518	3118	117068
519	3124	117063
520	3130	117037
521	3135	117013
522	3141	116992
523	3146	116966
524	3152	116939
525	3158	116946
526	3164	116924
527	3169	116904
528	3175	116878
529	3180	116852
530	3186	116828
531	3192	116815
532	3197	116799
533	3203	116778
534	3209	116768
535	3214	116742
536	3220	116719
537	3226	116701
538	3231	116679
539	3237	116661
540	3243	116651
541	3248	116627
542	3257	116726
543	3264	116755
544	3270	116739
545	3276	116729
546	3281	116705
547	3287	116698
548	3293	116674
549	3298	116650
550	3304	116628
551	3309	116600
552	3315	116577
553	3320	116561
554	3326	116551
555	3332	116528
556	3338	116550
557	3345	116578
558	3353	116624
559	3359	116623
560	3365	116609
561	3370	116591
562	3377	116589
563	3382	116571
564	3388	116541
565	3393	116524
566	3399	116504
567	3404	116482
568	3410	116456
569	3415	116439
570	3421	116417
571	3427	116414
572	3433	116413
573	3439	116390
574	3445	116382
575	3450	116369
576	3459	116440
577	3466	116468
578	3471	116446
579	3477	116452
580	3483	116434
581	3489	116420
582	3495	116404
583	3500	116388
584	3506	116368
585	3511	116343
586	3517	116319
587	3523	116309
588	3528	116283
589	3533	116261
590	3539	116242
591	3544	116216
592	3550	116207
593	3556	116188
594	3562	116171
595	3567	116150
596	3573	116138
597	3579	116126
598	3584	116102
599	3590	116092
600	3596	116093
601	3602	116071
602	3607	116046
603	3612	116020
604	3618	115994
605	3623	115977
606	3629	115962
607	3635	115944
608	3640	115925
609	3646	115907
610	3653	115922
611	3660	115958
612	3665	115941
613	3672	115965
614	3679	115975
615	3686	116000
616	3693	116017
617	3700	116047
618	3707	116090
619	3713	116069
620	3718	116052
621	3724	116026
622	3729	116007
623	3735	115984
624	3740	115970
625	3746	115956
626	3752	115952
627	3758	115937
628	3763	115917
629	3769	115905
630	3775	115884
631	3780	115863
632	3786	115843
633	3791	115827
634	3797	115817
635	3803	115810
636	3809	115792
637	3815	115778
638	3820	115768
639	3826	115743
640	3832	115736
641	3837	115720
642	3843	115700
643	3848	115683
644	3854	115665
645	3861	115677
646	3868	115702
647	3875	115734
648	3882	115753
649	3887	115727
650	3893	115721
651	3898	115700
652	3904	115682
653	3910	115667
654	3916	115662
655	3921	115643
656	3927	115640
657	3933	115625
658	3939	115625
659	3944	115600
660	3950	115582
661	3956	115562
662	3961	115542
663	3967	115522
664	3972	115501
665	3978	115494
666	3984	115485
